"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_main_textual_models_tid
"node","book",0,2429,2429,"und",0,359
"node","book",0,2430,2430,"und",0,387
"node","book",0,2432,2432,"und",0,331
"node","book",0,2432,2432,"und",1,336
"node","book",0,2433,2433,"und",0,351
"node","book",0,2433,2433,"und",1,357
"node","book",0,2434,2434,"und",0,351
"node","book",0,2434,2434,"und",1,355
"node","book",0,2435,2435,"und",0,328
"node","book",0,2435,2435,"und",1,351
"node","book",0,2436,2436,"und",0,366
"node","book",0,2436,2436,"und",1,370
"node","book",0,2437,2437,"und",0,351
"node","book",0,2437,2437,"und",1,355
"node","book",0,2438,2438,"und",0,351
"node","book",0,2438,2438,"und",1,355
"node","book",0,2438,2438,"und",2,366
"node","book",0,2438,2438,"und",3,370
"node","book",0,2439,2439,"und",0,351
"node","book",0,2439,2439,"und",1,355
"node","book",0,2440,2440,"und",0,351
"node","book",0,2440,2440,"und",1,355
"node","book",0,2441,2441,"und",0,351
"node","book",0,2445,2445,"und",0,351
"node","book",0,2445,2445,"und",1,355
"node","book",0,2446,2446,"und",0,351
"node","book",0,2446,2446,"und",1,355
"node","book",0,2447,2447,"und",0,351
"node","book",0,2447,2447,"und",1,355
"node","book",0,2448,2448,"und",0,328
"node","book",0,2448,2448,"und",1,351
"node","book",0,2448,2448,"und",2,355
"node","book",0,2448,2448,"und",3,366
"node","book",0,2448,2448,"und",4,370
"node","book",0,2448,2448,"und",5,372
"node","book",0,2449,2449,"und",0,351
"node","book",0,2449,2449,"und",1,355
"node","book",0,2452,2452,"und",0,366
"node","book",0,2452,2452,"und",1,370
"node","book",0,2452,2452,"und",2,372
"node","book",0,2453,2453,"und",0,325
"node","book",0,2453,2453,"und",1,326
"node","book",0,2453,2453,"und",2,327
"node","book",0,2453,2453,"und",3,351
"node","book",0,2453,2453,"und",4,352
"node","book",0,2454,2454,"und",0,325
"node","book",0,2454,2454,"und",1,326
"node","book",0,2454,2454,"und",2,327
"node","book",0,2454,2454,"und",3,352
"node","book",0,2456,2456,"und",0,325
"node","book",0,2456,2456,"und",1,351
"node","book",0,2456,2456,"und",2,352
"node","book",0,2457,2457,"und",0,325
"node","book",0,2457,2457,"und",1,351
"node","book",0,2457,2457,"und",2,352
"node","book",0,2458,2458,"und",0,351
"node","book",0,2458,2458,"und",1,355
"node","book",0,2458,2458,"und",2,366
"node","book",0,2458,2458,"und",3,370
"node","book",0,2458,2458,"und",4,372
"node","book",0,2459,2459,"und",0,351
"node","book",0,2459,2459,"und",1,366
"node","book",0,2459,2459,"und",2,370
"node","book",0,2459,2459,"und",3,372
"node","book",0,2460,2460,"und",0,351
"node","book",0,2460,2460,"und",1,366
"node","book",0,2460,2460,"und",2,370
"node","book",0,2460,2460,"und",3,372
"node","book",0,2461,2461,"und",0,351
"node","book",0,2461,2461,"und",1,355
"node","book",0,2461,2461,"und",2,357
"node","book",0,2461,2461,"und",3,386
"node","book",0,2462,2462,"und",0,336
"node","book",0,2463,2463,"und",0,341
"node","book",0,2464,2464,"und",0,351
"node","book",0,2464,2464,"und",1,355
"node","book",0,2465,2465,"und",0,359
"node","book",0,2468,2468,"und",0,351
"node","book",0,2468,2468,"und",1,355
"node","book",0,2468,2468,"und",2,366
"node","book",0,2468,2468,"und",3,370
"node","book",0,2469,2469,"und",0,351
"node","book",0,2469,2469,"und",1,355
"node","book",0,2470,2470,"und",0,330
"node","book",0,2471,2471,"und",0,385
"node","book",0,2472,2472,"und",0,325
"node","book",0,2472,2472,"und",1,327
"node","book",0,2473,2473,"und",0,343
"node","book",0,2473,2473,"und",1,345
"node","book",0,2474,2474,"und",0,336
"node","book",0,2474,2474,"und",1,387
"node","book",0,2475,2475,"und",0,336
"node","book",0,2475,2475,"und",1,387
"node","book",0,2476,2476,"und",0,336
"node","book",0,2476,2476,"und",1,387
"node","book",0,2477,2477,"und",0,366
"node","book",0,2478,2478,"und",0,336
"node","book",0,2478,2478,"und",1,387
"node","book",0,2479,2479,"und",0,366
"node","book",0,2479,2479,"und",1,370
"node","book",0,2479,2479,"und",2,372
"node","book",0,2480,2480,"und",0,366
"node","book",0,2480,2480,"und",1,370
"node","book",0,2480,2480,"und",2,372
"node","book",0,2481,2481,"und",0,366
"node","book",0,2481,2481,"und",1,370
"node","book",0,2481,2481,"und",2,372
"node","book",0,2482,2482,"und",0,366
"node","book",0,2482,2482,"und",1,370
"node","book",0,2482,2482,"und",2,372
"node","book",0,2483,2483,"und",0,366
"node","book",0,2483,2483,"und",1,370
"node","book",0,2483,2483,"und",2,372
"node","book",0,2484,2484,"und",0,366
"node","book",0,2484,2484,"und",1,370
"node","book",0,2484,2484,"und",2,372
"node","book",0,2485,2485,"und",0,366
"node","book",0,2485,2485,"und",1,370
"node","book",0,2486,2486,"und",0,332
"node","book",0,2486,2486,"und",1,359
"node","book",0,2487,2487,"und",0,351
"node","book",0,2487,2487,"und",1,352
