"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_description_tid
"node","mention",0,3399,3399,"und",0,803
"node","mention",0,3400,3400,"und",0,803
"node","mention",0,3401,3401,"und",0,803
"node","mention",0,3402,3402,"und",0,803
"node","mention",0,3403,3403,"und",0,803
"node","mention",0,3404,3404,"und",0,803
"node","mention",0,3405,3405,"und",0,803
"node","mention",0,3406,3406,"und",0,803
"node","mention",0,3407,3407,"und",0,803
"node","mention",0,3408,3408,"und",0,803
"node","mention",0,3409,3409,"und",0,803
"node","mention",0,3410,3410,"und",0,803
"node","mention",0,3411,3411,"und",0,803
"node","mention",0,3412,3412,"und",0,803
"node","mention",0,3413,3413,"und",0,803
"node","mention",0,3414,3414,"und",0,803
"node","mention",0,3415,3415,"und",0,803
"node","mention",0,3416,3416,"und",0,803
"node","mention",0,3417,3417,"und",0,803
"node","mention",0,3418,3418,"und",0,803
"node","mention",0,3419,3419,"und",0,803
"node","mention",0,3420,3420,"und",0,803
"node","mention",0,3421,3421,"und",0,803
"node","mention",0,3422,3422,"und",0,803
"node","mention",0,3423,3423,"und",0,803
"node","mention",0,3424,3424,"und",0,803
"node","mention",0,3425,3425,"und",0,803
"node","mention",0,3426,3426,"und",0,803
"node","mention",0,3427,3427,"und",0,803
"node","mention",0,3428,3428,"und",0,803
"node","mention",0,3429,3429,"und",0,803
"node","mention",0,3430,3430,"und",0,803
"node","mention",0,3431,3431,"und",0,803
"node","mention",0,3432,3432,"und",0,803
"node","mention",0,3433,3433,"und",0,803
"node","mention",0,3434,3434,"und",0,803
"node","mention",0,3435,3435,"und",0,803
"node","mention",0,3436,3436,"und",0,803
"node","mention",0,3437,3437,"und",0,803
"node","mention",0,3438,3438,"und",0,803
"node","mention",0,3439,3439,"und",0,803
"node","mention",0,3440,3440,"und",0,803
"node","mention",0,3441,3441,"und",0,803
"node","mention",0,3442,3442,"und",0,803
"node","mention",0,3443,3443,"und",0,803
"node","mention",0,3444,3444,"und",0,803
"node","mention",0,3445,3445,"und",0,803
"node","mention",0,3446,3446,"und",0,803
"node","mention",0,3447,3447,"und",0,803
"node","mention",0,3448,3448,"und",0,803
"node","mention",0,3449,3449,"und",0,803
"node","mention",0,3450,3450,"und",0,803
"node","mention",0,3451,3451,"und",0,803
"node","mention",0,3452,3452,"und",0,803
"node","mention",0,3453,3453,"und",0,803
"node","mention",0,3454,3454,"und",0,803
"node","mention",0,3455,3455,"und",0,803
"node","mention",0,3456,3456,"und",0,803
"node","mention",0,3457,3457,"und",0,803
"node","mention",0,3458,3458,"und",0,803
"node","mention",0,3459,3459,"und",0,803
"node","mention",0,3460,3460,"und",0,803
"node","mention",0,3461,3461,"und",0,803
"node","mention",0,3462,3462,"und",0,803
"node","mention",0,3463,3463,"und",0,803
"node","mention",0,3464,3464,"und",0,803
"node","mention",0,3465,3465,"und",0,803
"node","mention",0,3466,3466,"und",0,803
"node","mention",0,3467,3467,"und",0,803
"node","mention",0,3468,3468,"und",0,803
"node","mention",0,3469,3469,"und",0,803
"node","mention",0,3470,3470,"und",0,803
"node","mention",0,3471,3471,"und",0,803
"node","mention",0,3472,3472,"und",0,803
"node","mention",0,3473,3473,"und",0,803
"node","mention",0,3474,3474,"und",0,803
"node","mention",0,3475,3475,"und",0,803
"node","mention",0,3476,3476,"und",0,803
"node","mention",0,3477,3477,"und",0,803
"node","mention",0,3478,3478,"und",0,803
"node","mention",0,3479,3479,"und",0,803
"node","mention",0,3480,3480,"und",0,803
"node","mention",0,3481,3481,"und",0,803
"node","mention",0,3482,3482,"und",0,803
"node","mention",0,3483,3483,"und",0,803
"node","mention",0,3484,3484,"und",0,803
"node","mention",0,3485,3485,"und",0,803
"node","mention",0,3486,3486,"und",0,803
"node","mention",0,3487,3487,"und",0,803
"node","mention",0,3488,3488,"und",0,803
"node","mention",0,3489,3489,"und",0,803
"node","mention",0,3490,3490,"und",0,803
"node","mention",0,3491,3491,"und",0,803
"node","mention",0,3492,3492,"und",0,803
