"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_topic_tid
"node","book",0,2296,2296,"und",0,489
"node","book",0,2296,2296,"und",1,518
"node","book",0,2297,2297,"und",0,489
"node","book",0,2297,2297,"und",1,518
"node","book",0,2298,2298,"und",0,489
"node","book",0,2299,2299,"und",0,450
"node","book",0,2299,2299,"und",1,459
"node","book",0,2299,2299,"und",2,635
"node","book",0,2299,2299,"und",3,725
"node","book",0,2299,2299,"und",4,434
"node","book",0,2299,2299,"und",5,529
"node","book",0,2300,2300,"und",0,489
"node","book",0,2300,2300,"und",1,459
"node","book",0,2302,2302,"und",0,489
"node","book",0,2302,2302,"und",1,459
"node","book",0,2302,2302,"und",2,478
"node","book",0,2303,2303,"und",0,480
"node","book",0,2303,2303,"und",1,476
"node","book",0,2303,2303,"und",2,516
"node","book",0,2303,2303,"und",3,573
"node","book",0,2303,2303,"und",4,565
"node","book",0,2303,2303,"und",5,726
"node","book",0,2303,2303,"und",6,478
"node","book",0,2303,2303,"und",7,428
"node","book",0,2303,2303,"und",8,548
"node","book",0,2303,2303,"und",9,520
"node","book",0,2303,2303,"und",10,727
"node","book",0,2304,2304,"und",0,459
"node","book",0,2305,2305,"und",0,634
"node","book",0,2305,2305,"und",1,459
"node","book",0,2305,2305,"und",2,478
"node","book",0,2307,2307,"und",0,667
"node","book",0,2307,2307,"und",1,476
"node","book",0,2307,2307,"und",2,691
"node","book",0,2307,2307,"und",3,620
"node","book",0,2307,2307,"und",4,573
"node","book",0,2307,2307,"und",5,643
"node","book",0,2307,2307,"und",6,622
"node","book",0,2307,2307,"und",7,492
"node","book",0,2309,2309,"und",0,594
"node","book",0,2309,2309,"und",1,634
"node","book",0,2309,2309,"und",2,491
