"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_book_target_id
"node","mention",0,3045,3045,"und",0,2006
"node","mention",0,3046,3046,"und",0,2006
"node","mention",0,3047,3047,"und",0,2006
"node","mention",0,3048,3048,"und",0,2006
"node","mention",0,3049,3049,"und",0,2006
"node","mention",0,3050,3050,"und",0,2006
"node","mention",0,3051,3051,"und",0,2006
"node","mention",0,3052,3052,"und",0,2006
"node","mention",0,3053,3053,"und",0,2006
"node","mention",0,3054,3054,"und",0,2006
"node","mention",0,3055,3055,"und",0,2006
"node","mention",0,3056,3056,"und",0,2006
"node","mention",0,3057,3057,"und",0,2006
"node","mention",0,3058,3058,"und",0,2006
"node","mention",0,3059,3059,"und",0,2006
"node","mention",0,3060,3060,"und",0,2010
"node","mention",0,3061,3061,"und",0,2025
"node","mention",0,3062,3062,"und",0,2027
"node","mention",0,3063,3063,"und",0,2031
"node","mention",0,3064,3064,"und",0,2042
"node","mention",0,3065,3065,"und",0,2061
"node","mention",0,3066,3066,"und",0,2071
"node","mention",0,3067,3067,"und",0,2071
"node","mention",0,3068,3068,"und",0,2071
"node","mention",0,3069,3069,"und",0,2074
"node","mention",0,3070,3070,"und",0,2079
"node","mention",0,3071,3071,"und",0,2079
"node","mention",0,3072,3072,"und",0,2079
"node","mention",0,3073,3073,"und",0,2079
"node","mention",0,3074,3074,"und",0,2079
"node","mention",0,3075,3075,"und",0,2080
"node","mention",0,3076,3076,"und",0,2080
"node","mention",0,3077,3077,"und",0,2083
"node","mention",0,3078,3078,"und",0,2083
"node","mention",0,3079,3079,"und",0,2084
"node","mention",0,3080,3080,"und",0,2085
"node","mention",0,3081,3081,"und",0,2086
"node","mention",0,3082,3082,"und",0,2086
"node","mention",0,3083,3083,"und",0,2100
"node","mention",0,3084,3084,"und",0,2100
"node","mention",0,3085,3085,"und",0,2100
"node","mention",0,3086,3086,"und",0,2100
"node","mention",0,3087,3087,"und",0,2100
"node","mention",0,3088,3088,"und",0,2100
"node","mention",0,3089,3089,"und",0,2100
"node","mention",0,3090,3090,"und",0,2100
"node","mention",0,3091,3091,"und",0,2100
"node","mention",0,3092,3092,"und",0,2100
"node","mention",0,3093,3093,"und",0,2100
"node","mention",0,3094,3094,"und",0,2100
"node","mention",0,3095,3095,"und",0,2100
"node","mention",0,3096,3096,"und",0,2100
"node","mention",0,3097,3097,"und",0,2100
"node","mention",0,3098,3098,"und",0,2100
"node","mention",0,3099,3099,"und",0,2100
"node","mention",0,3100,3100,"und",0,2100
"node","mention",0,3101,3101,"und",0,2100
"node","mention",0,3102,3102,"und",0,2100
"node","mention",0,3103,3103,"und",0,2100
"node","mention",0,3104,3104,"und",0,2100
"node","mention",0,3105,3105,"und",0,2100
"node","mention",0,3106,3106,"und",0,2100
"node","mention",0,3107,3107,"und",0,2100
"node","mention",0,3108,3108,"und",0,2100
"node","mention",0,3109,3109,"und",0,2100
"node","mention",0,3110,3110,"und",0,2100
"node","mention",0,3111,3111,"und",0,2100
"node","mention",0,3112,3112,"und",0,2100
"node","mention",0,3113,3113,"und",0,2100
"node","mention",0,3115,3115,"und",0,2100
"node","mention",0,3116,3116,"und",0,2100
