"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,2263,2263,"und",0,"ספריית אוניברסיטת ת\"א, מהלמן סטנ296.655","filtered_html"
"node","book",0,2264,2264,"und",0,"<p>S 36 A 2030 לאומית</p>
","filtered_html"
"node","book",0,2265,2265,"und",0,"Univ. Tel Aviv, Slg. Mehlmann: פדר296.41","filtered_html"
"node","book",0,2266,2266,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2267,2267,"und",0,"עותק באוניברסיטת בר אילן (מעט פגום)","filtered_html"
"node","book",0,2268,2268,"und",0,"ספריית אוניברסיטת תל אביב

492.45 שוב","filtered_html"
"node","book",0,2269,2269,"und",0,"ספריית סוראסקי באוניברסיטת ת\"א

492.45 שוב","filtered_html"
"node","book",0,2270,2270,"und",0,"עותק בספרית מהלמן, אונ' תל אביב","filtered_html"
"node","book",0,2271,2271,"und",0,"עותק באוניברסיטת חיפה + עותק בספריה הלאומית","filtered_html"
"node","book",0,2272,2272,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2273,2273,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2275,2275,"und",0,"עותק באוניברסיטת תל אביב","filtered_html"
"node","book",0,2276,2276,"und",0,"לאומית:

R 4= 22 V 13526","filtered_html"
"node","book",0,2277,2277,"und",0,"הלאומית העברית 22V 13073","filtered_html"
"node","book",0,2278,2278,"und",0,"לאומית:

Fi 1193","filtered_html"
"node","book",0,2279,2279,"und",0,"מהלמן 296.158 משה","filtered_html"
"node","book",0,2280,2280,"und",0,"הגדלים לפי:

בר אילן

C2 סטנ.חז תקל\"ה","filtered_html"
"node","book",0,2281,2281,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2282,2282,"und",0,"מהלמן 296.174 יהו","filtered_html"
"node","book",0,2283,2283,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2284,2284,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2285,2285,"und",0,"לאומית:
R 0=22 V 13514","filtered_html"
"node","book",0,2286,2286,"und",0,"הלאומית S 62 A 3590הלאומית S 62 A 3590","filtered_html"
"node","book",0,2287,2287,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2288,2288,"und",0,"הלאומית S 62 A 3590","filtered_html"
"node","book",0,2289,2289,"und",0,"עותק בספריה הלאומית.","filtered_html"
"node","book",0,2290,2290,"und",0,"ספריית אוניברסיטת בר-אילן: T131/2'  סטנ.שר תקמ\"ז","filtered_html"
"node","book",0,2291,2291,"und",0,"ספריית אוניברסיטת בר אילן:
T131/2'  סטנ.שר תקמ\"ז","filtered_html"
"node","book",0,2292,2292,"und",0,"לאומית:

S2005A5613

עותק מצולם מישיבת הר עציון:

0005799

ש / תמר / 117

מהדורת צילום: ברוקלין, תשמ\"ה","filtered_html"
