"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_huji_library_id_value","field_huji_library_id_format"
"node","book",0,2354,2354,"und",0,"S 52 A 394",NULL
"node","book",0,2355,2355,"und",0,"S 70 A 154",NULL
"node","book",0,2356,2356,"und",0,"S 35 V 1820",NULL
"node","book",0,2358,2358,"und",0,"S 23 V 5842",NULL
"node","book",0,2359,2359,"und",0,"R 8= 35 V 3329",NULL
"node","book",0,2360,2360,"und",0,"R 8= 25 V 14319",NULL
"node","book",0,2362,2362,"und",0,"R 8= 35 V 3520",NULL
"node","book",0,2364,2364,"und",0,"R 8= 35 V 4608",NULL
"node","book",0,2365,2365,"und",0,"R 67 A 3914",NULL
"node","book",0,2366,2366,"und",0,"R 2= 23 V 9250",NULL
"node","book",0,2367,2367,"und",0,"S64A1632",NULL
"node","book",0,2368,2368,"und",0,"R 4= 96 A 225",NULL
"node","book",0,2369,2369,"und",0,"S 0= 51 A 122",NULL
"node","book",0,2370,2370,"und",0,"S 25 V 13756",NULL
"node","book",0,2372,2372,"und",0,"R 8= 73 A 1866",NULL
"node","book",0,2373,2373,"und",0,"R 8= 22 V 5560",NULL
"node","book",0,2374,2374,"und",0,"R /8= 22 V 6233",NULL
"node","book",0,2375,2375,"und",0,"R 8= 23 V 8386",NULL
"node","book",0,2378,2378,"und",0,"S 35 V 1820",NULL
"node","book",0,2379,2379,"und",0,"R 8= 31 V 1541",NULL
"node","book",0,2380,2380,"und",0,"S 47 A 1058",NULL
"node","book",0,2381,2381,"und",0,"S 64 A 2938",NULL
"node","book",0,2382,2382,"und",0,"S 82 A 3769",NULL
"node","book",0,2383,2383,"und",0,"22V4175",NULL
"node","book",0,2384,2384,"und",0,"S 26 V 1",NULL
"node","book",0,2385,2385,"und",0,"S /23 V 6563",NULL
"node","book",0,2386,2386,"und",0,"R 8= 37 A 1944",NULL
"node","book",0,2387,2387,"und",0,"R 8= 22 V 12032",NULL
"node","book",0,2388,2388,"und",0,"R 8= 22 V 12032",NULL
"node","book",0,2390,2390,"und",0,"(עותק שני) S 25 V 13718",NULL
"node","book",0,2391,2391,"und",0,"R 75 A 1189",NULL
"node","book",0,2394,2394,"und",0,"R 8= 56 A 2188",NULL
"node","book",0,2396,2396,"und",0,"S 35 V 1897",NULL
"node","book",0,2397,2397,"und",0,"S 23 V 5182",NULL
"node","book",0,2398,2398,"und",0,"S 47 A 820",NULL
"node","book",0,2399,2399,"und",0,"S 56 A 1615",NULL
"node","book",0,2401,2401,"und",0,"S 33 V 4297",NULL
"node","book",0,2402,2402,"und",0,"S 55 A 3749",NULL
"node","book",0,2403,2403,"und",0,"S 62 A 779",NULL
"node","book",0,2404,2404,"und",0,"SR 31 V 1436",NULL
"node","book",0,2405,2405,"und",0,"R 8= 31 V 1321",NULL
"node","book",0,2408,2408,"und",0,"S 31 V 1457",NULL
"node","book",0,2409,2409,"und",0,"L 2241",NULL
"node","book",0,2412,2412,"und",0,"R 0= 31 V 149",NULL
"node","book",0,2413,2413,"und",0,"R 8= 2003 A 1779",NULL
"node","book",0,2414,2414,"und",0,"אוסף שולםR 1302    ;R 8= 23 V 12521",NULL
"node","book",0,2415,2415,"und",0,"R 0= 25 V 14326",NULL
"node","book",0,2416,2416,"und",0,"R69 A 1766",NULL
"node","book",0,2417,2417,"und",0,"S 33 V 3911",NULL
"node","book",0,2418,2418,"und",0,"S 33 V 3911",NULL
"node","book",0,2419,2419,"und",0,"R 53 A 1816",NULL
"node","book",0,2420,2420,"und",0,"S 36 A 469",NULL
"node","book",0,2421,2421,"und",0,"R /8= 35 V 1708",NULL
"node","book",0,2423,2423,"und",0,"S 53 A 2278",NULL
"node","book",0,2424,2424,"und",0,"R 8= 75 A 1687",NULL
"node","book",0,2425,2425,"und",0,"S 35 V 4344",NULL
"node","book",0,2426,2426,"und",0,"L 2236",NULL
"node","book",0,2427,2427,"und",0,"S 31 V 746",NULL
"node","book",0,2428,2428,"und",0,"S22V13053",NULL
"node","book",0,2429,2429,"und",0,"97L171",NULL
"node","book",0,2430,2430,"und",0,"S 50 A 231",NULL
"node","book",0,2431,2431,"und",0,"R 79 A 4511",NULL
"node","book",0,2432,2432,"und",0,"R 8= 35 V 4175",NULL
"node","book",0,2435,2435,"und",0,"S 31 V 1266",NULL
"node","book",0,2436,2436,"und",0,"R 2+= 56 A 2133",NULL
"node","book",0,2437,2437,"und",0,"R 2+= 52 A 1360",NULL
"node","book",0,2438,2438,"und",0,"R 8=31 V 1484",NULL
"node","book",0,2439,2439,"und",0,"L 2215",NULL
"node","book",0,2440,2440,"und",0,"R 4=53 A 410",NULL
"node","book",0,2441,2441,"und",0,"R 8= 31 V 519",NULL
"node","book",0,2442,2442,"und",0,"L 2226",NULL
"node","book",0,2443,2443,"und",0,"R 4= 31 V 1487",NULL
"node","book",0,2445,2445,"und",0,"R 8= 31 V 1428",NULL
"node","book",0,2447,2447,"und",0,"R 2+= 50 A 1323",NULL
"node","book",0,2448,2448,"und",0,"R 8= 64 A 321",NULL
"node","book",0,2449,2449,"und",0,"L2268.",NULL
"node","book",0,2450,2450,"und",0,"R 8=93 A 2824",NULL
"node","book",0,2451,2451,"und",0,"31V518",NULL
"node","book",0,2452,2452,"und",0,"R 8= 73 A 612",NULL
"node","book",0,2453,2453,"und",0,"57A1602",NULL
"node","book",0,2454,2454,"und",0,"57A1602",NULL
"node","book",0,2455,2455,"und",0,"S 31 V 572",NULL
"node","book",0,2456,2456,"und",0,"S 31 V 572",NULL
"node","book",0,2457,2457,"und",0,"S 31 V 572",NULL
"node","book",0,2458,2458,"und",0,"R 8= 35 V 4351",NULL
"node","book",0,2459,2459,"und",0,"R 4=46 A 129",NULL
"node","book",0,2460,2460,"und",0,"R 8= 35 V 4346",NULL
"node","book",0,2461,2461,"und",0,"F 2045  אגף כתבי יד",NULL
"node","book",0,2462,2462,"und",0,"R8 = 36 A 2045",NULL
"node","book",0,2463,2463,"und",0,"1095976",NULL
"node","book",0,2464,2464,"und",0,"S 64 A 2830",NULL
"node","book",0,2465,2465,"und",0,"S 23 V 8976",NULL
"node","book",0,2467,2467,"und",0,"R 2+=75 A 826",NULL
"node","book",0,2468,2468,"und",0,"R 2= 31 V 1504",NULL
"node","book",0,2469,2469,"und",0,"L 2239",NULL
"node","book",0,2470,2470,"und",0,"S 70 A 66",NULL
"node","book",0,2471,2471,"und",0,"R 8= 23 V 6892",NULL
"node","book",0,2472,2472,"und",0,"S 39 A 499",NULL
"node","book",0,2473,2473,"und",0,"R 30 V 811",NULL
"node","book",0,2474,2474,"und",0,"PJ 4566 C66",NULL
"node","book",0,2475,2475,"und",0,"PJ 4566 C66",NULL
"node","book",0,2476,2476,"und",0,"PJ 4566 C66",NULL
"node","book",0,2477,2477,"und",0,"S 91 A 1404",NULL
"node","book",0,2478,2478,"und",0,"S 25 V 14284",NULL
"node","book",0,2479,2479,"und",0,"R 4=64 A 2845",NULL
"node","book",0,2480,2480,"und",0,"S 62 B 935",NULL
"node","book",0,2481,2481,"und",0,"R 8= 75 A 478",NULL
"node","book",0,2482,2482,"und",0,"S 56 A 1329",NULL
"node","book",0,2483,2483,"und",0,"R 2+= 52 A 1360",NULL
"node","book",0,2484,2484,"und",0,"R 8 31 V 1428",NULL
"node","book",0,2485,2485,"und",0,"R 8= 23 V 530",NULL
"node","book",0,2486,2486,"und",0,"R 0= 35 V 3818",NULL
"node","book",0,2487,2487,"und",0,"S 31 V 1696",NULL
