"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pages_number_value","field_pages_number_format"
"node","book",0,2300,2300,"und",0,"עב ד' [כולל שער]",NULL
"node","book",0,2301,2301,"und",0,"231 Bl.",NULL
"node","book",0,2302,2302,"und",0,"[12], קל ד' כולל שער",NULL
"node","book",0,2303,2303,"und",0,"[9] ע', מח ע', עב ד', [2] ע'",NULL
"node","book",0,2304,2304,"und",0,"[5 עמ'],  ד'-מב' דפים, [1 עמ']",NULL
"node","book",0,2305,2305,"und",0,"[15] ע'",NULL
"node","book",0,2306,2306,"und",0,"28 ד'",NULL
"node","book",0,2307,2307,"und",0,"[11] עמ', 21-5 עמ',  [1] עמ', 11 עמ'",NULL
"node","book",0,2309,2309,"und",0,"יב ד', [1] עמ'",NULL
"node","book",0,2311,2311,"und",0,"[3] עמ' צג' ד'  [15] עמ'",NULL
"node","book",0,2312,2312,"und",0,"[1] ב'- קכח' דפים",NULL
"node","book",0,2313,2313,"und",0,"י ד' כולל שער",NULL
"node","book",0,2314,2314,"und",0,"טז ד'",NULL
"node","book",0,2316,2316,"und",0,"ב'-ח' דפים",NULL
"node","book",0,2317,2317,"und",0,"[3], 15, [8], צא, [4] ע'",NULL
"node","book",0,2318,2318,"und",0,"[4], לה [צ\"ל מא] ד'",NULL
"node","book",0,2319,2319,"und",0,"[2], 66 ד'",NULL
"node","book",0,2320,2320,"und",0,"[3], יב, יז [צ\"ל כ] ד’",NULL
"node","book",0,2321,2321,"und",0,"[4], מה ד'",NULL
"node","book",0,2322,2322,"und",0,"[ 5 ע'] לה' ד' [13 ע'] כה' ד' [2]",NULL
"node","book",0,2323,2323,"und",0,"[10] עמ', ב'-ריח' דפים, [3] עמ'",NULL
"node","book",0,2324,2324,"und",0,"מ ד'",NULL
"node","book",0,2325,2325,"und",0,"[2], קנב, [3] ד' כולל שער",NULL
"node","book",0,2326,2326,"und",0,"[7], קכה ד' כולל שער",NULL
"node","book",0,2327,2327,"und",0,"קב ד' כולל שער",NULL
"node","book",0,2328,2328,"und",0,"[4], קמו, [1] ד'",NULL
"node","book",0,2329,2329,"und",0,"[3], קג, פח ד' כולל שער",NULL
"node","book",0,2330,2330,"und",0,"[13], קלח ד'; חלק ב' [7], ממשיך מ- קנב עד רנא ד'",NULL
"node","book",0,2331,2331,"und",0,"קע ד' [כולל שער]",NULL
"node","book",0,2332,2332,"und",0,"קנ ד' [כןלל שער]",NULL
"node","book",0,2333,2333,"und",0,"[4], קיא ד' כולל שער",NULL
"node","book",0,2334,2334,"und",0,"ק ד' [כולל שער]",NULL
"node","book",0,2335,2335,"und",0,"קסח ד' כולל שער",NULL
"node","book",0,2337,2337,"und",0,"[15] ע', קכה ד'",NULL
