menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,273,53,admin/config/services/logs-http-client,admin/config/services/logs-http-client,Logs HTTP Client,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:32:""Administer Logs Client settings."";}}'",system,0,0,0,0,0,4,0,1,7,53,273,0,0,0,0,0,0
management,274,43,admin/config/search/metatags,admin/config/search/metatags,Metatag,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:27:""Configure Metatag defaults."";}}'",system,0,0,0,0,0,4,0,1,7,43,274,0,0,0,0,0,0
management,275,50,admin/config/user-interface/modulefilter,admin/config/user-interface/modulefilter,Module filter,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:46:""Configure how the modules page looks and acts."";}}'",system,0,0,0,0,0,4,0,1,7,50,275,0,0,0,0,0,0
management,276,43,admin/config/search/search_api,admin/config/search/search_api,Search API,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""Create and configure search engines."";}}'",system,0,0,1,0,0,4,0,1,7,43,276,0,0,0,0,0,0
management,277,43,admin/config/search/xmlsitemap,admin/config/search/xmlsitemap,XML sitemap,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:92:""Configure your site\'s XML sitemaps to help search engines find and index pages on your site."";}}'",system,0,0,1,0,0,4,0,1,7,43,277,0,0,0,0,0,0
management,278,28,admin/config/development/jquery_update,admin/config/development/jquery_update,jQuery update,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:83:""Configure settings related to the jQuery upgrade, the library path and compression."";}}'",system,0,0,0,0,0,4,0,1,7,28,278,0,0,0,0,0,0
management,279,276,admin/config/search/search_api/add_index,admin/config/search/search_api/add_index,Add index,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:26:""Create a new search index."";}}'",system,-1,0,0,0,0,5,0,1,7,43,276,279,0,0,0,0,0
management,280,276,admin/config/search/search_api/add_server,admin/config/search/search_api/add_server,Add server,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:27:""Create a new search server."";}}'",system,-1,0,0,0,-1,5,0,1,7,43,276,280,0,0,0,0,0
management,281,274,admin/config/search/metatags/settings,admin/config/search/metatags/settings,Advanced settings,b'a:0:{}',system,-1,0,0,0,30,5,0,1,7,43,274,281,0,0,0,0,0
management,282,274,admin/config/search/metatags/bulk-revert,admin/config/search/metatags/bulk-revert,Bulk revert,b'a:0:{}',system,-1,0,0,0,40,5,0,1,7,43,274,282,0,0,0,0,0
