nid,vid,type,title,status,created,changed,uid,name_in_book,name_in_book_format,person_name_appear,producer_target_id,role_tid
4851,4851,production,"Satanow, Isaak - סטנוב, יצחק - אגרת בית תפלה - Don't know",1,1428490312,1428490312,1,,,,423,809.0
4852,4852,production,Reuben ben Abraham Levi - ראובן בן אברהם לוי - אגרת הראשון לחנך לנער בכתב ולשון - Don't know,1,1428490312,1428490312,1,,,,408,809.0
4853,4853,production,"Dubno, Salomon - דובנא, שלמה - אהבת ציון - Editor",1,1428490312,1428490312,1,,,,105,404.0
4854,4854,production,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב - אוצר השרשים א - Author",1,1428490312,1428490312,1,,,,43,402.0
4855,4855,production,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב - אוצר השרשים ב - Author",1,1428490312,1428490312,1,,,,43,402.0
4856,4856,production,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב - אוצר השרשים ג - Author",1,1428490312,1428490312,1,,,,43,402.0
4857,4857,production,"Bondi, Simon - בונדי, שמעון - אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vo - Author",1,1428490312,1428490312,1,,,,69,402.0
4858,4858,production,"Bondi, Mardochai - בונדי, מרדכי - אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vo - Author",1,1428490312,1428490312,1,,,,67,402.0
4859,4859,production,"Israelitische Haupt- und Freischule zu Deßaus - משגיחי חנוך נערים בעיר דעסויא - אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vo - Editor",1,1428490312,1428490312,1,,,,243,404.0
4860,4860,production,אנונימי - אור טוב - Don't know,1,1428490312,1428490312,1,,,,690,809.0
4861,4861,production,"מודינה, דוד בן-ציון בן אברהם - אור לוסטרו - Don't know",1,1428490312,1428490312,1,,,,1459,809.0
4862,4862,production,"Mendelssohn, Moses - מנדלסון, משה - אור לנתיבה - Author",1,1428490312,1428490312,1,,,,364,402.0
4863,4863,production,"פיאצה, משה אהרן רחמים - אורה ושמחה - Don't know",1,1428490312,1428490312,1,,,,1684,809.0
4864,4864,production,אנונימי - אורה ושמחה ליהודים - Don't know,1,1428490312,1428490312,1,,,,690,809.0
4865,4865,production,"לוין, צבי הירש - איש עניו - Author",1,1428490312,1428490312,1,,,,1335,402.0
4866,4866,production,אנונימי - אל ראשי עם קדש בני ישראל - Author,1,1428490312,1428490312,1,,,,690,402.0
4867,4867,production,"Luzzatto, Ephraim - לוצטו, אפרים - אלה בני הנעורים - Author",1,1428490312,1428490312,1,,,,347,402.0
4868,4868,production,אנונימי - אלה דברי הברית - Author,1,1428490312,1428490312,1,,,,690,402.0
4869,4869,production,אנונימי - אלה הם השירים - Author,1,1428490312,1428490312,1,,,,690,402.0
4870,4870,production,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ - אלון בכות - Author",1,1428490312,1428490312,1,,,,458,402.0
